City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather_description
47,Nouadhibou,MR,20.931,-17.0347,73.38,35,100,12.66,overcast clouds
48,Cidreira,BR,-30.1811,-50.2056,74.84,79,96,10.94,overcast clouds
49,Kavieng,PG,-2.5744,150.7967,82.8,69,100,5.53,overcast clouds
50,Anito,PH,12.4497,125.2886,78.26,90,81,1.97,broken clouds
51,Pont-Audemer,FR,49.35,0.5167,38.35,88,69,1.14,broken clouds
52,Rikitea,PF,-23.1203,-134.9692,77.63,70,7,7.52,clear sky
53,Vaini,TO,-21.2,-175.2,84.36,79,40,5.75,scattered clouds
54,Avarua,CK,-21.2078,-159.775,80.65,74,20,6.91,few clouds
55,Cherskiy,RU,68.75,161.3,-35.91,96,100,3.62,overcast clouds
56,Hay River,CA,60.8156,-115.7999,10.38,85,75,8.05,broken clouds
57,Khatanga,RU,71.9667,102.5,-39.8,96,24,8.16,few clouds
58,Nanortalik,GL,60.1432,-45.2371,8.55,60,5,17.31,clear sky
59,Cayenne,GF,4.9333,-52.3333,75.24,94,75,0.0,broken clouds
60,Ler,SS,8.3018,30.1418,75.74,26,86,4.38,overcast clouds
61,Port Elizabeth,ZA,-33.918,25.5701,73.09,97,100,11.5,overcast clouds
62,Lebu,CL,-37.6167,-73.65,58.44,79,5,15.79,clear sky
63,Monroe,US,43.1501,-77.6831,29.95,82,43,3.38,scattered clouds
64,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.76,86,100,24.16,snow
65,Husavik,IS,66.0449,-17.3389,30.0,97,100,17.38,snow
66,Yulara,AU,-25.2406,130.9889,89.51,33,3,8.84,clear sky
67,Qasigiannguit,GL,68.8193,-51.1922,-16.29,77,82,8.66,broken clouds
68,Sehithwa,BW,-20.4667,22.7167,71.46,74,69,2.66,broken clouds
69,Atar,MR,20.5169,-13.0499,71.2,15,100,8.86,overcast clouds
70,Kodiak,US,57.79,-152.4072,36.55,84,100,11.27,light rain
71,Port Lincoln,AU,-34.7333,135.8667,71.64,63,99,21.0,light rain
72,Santa Cruz,BO,-17.8,-63.1667,87.26,58,20,10.36,few clouds
73,Geraldton,AU,-28.7667,114.6,61.21,77,0,10.36,clear sky
74,Kieta,PG,-6.2167,155.6333,84.0,72,98,3.42,overcast clouds
75,Plettenberg Bay,ZA,-34.0527,23.3716,69.17,97,90,10.36,overcast clouds
76,Huescar,ES,37.811,-2.5412,46.26,82,100,25.9,overcast clouds
77,Pandharpur,IN,17.6667,75.3333,68.85,36,1,4.32,clear sky
78,Santiago,CL,-33.4569,-70.6483,80.55,36,0,19.57,clear sky
79,Rio Gallegos,AR,-51.6226,-69.2181,66.25,22,40,26.46,scattered clouds
80,Chilia Veche,RO,45.4167,29.2833,46.69,85,100,17.58,overcast clouds
81,Kruisfontein,ZA,-34.0033,24.7314,70.88,93,100,11.54,overcast clouds
